Metric,Euclidean,Cosine
Accuracy,0.8297491039426523,0.8637992831541219
Top-k Accuracy,1.0,1.0
F1-Score,0.8276175845589189,0.8622696147380975
AUC,0.985950362715012,0.9904944835723016
